X,Y,NAME,MARK,LIVER,COMMENT
36,60,ホロ村,city,,高台にある資源が豊富な林。赤い水晶の泉が目印。&#10;ココ、ぺこら、マリンが滞在している他、わための仮拠点がある。&#10;建築MODの効果を利用し、空高くにココが浮遊ハウスを建てた。
35,55,ココみこ工場,factory,"桐生ココ,さくらみこ",金属、水晶、黒曜石が取れる潤沢な立地。&#10;座標が「ココみこ」なので覚えやすい。
30,54,かなた城、ムーナ拠点、るしあ拠点、あくしお拠点,fort,"天音かなた,潤羽るしあ,湊あくあ,紫咲シオン",ホロ村から少し離れた高台。クリスタルアイルズのマップで最も賑やかな地域。&#10;崖が転落防止の柵で囲われ、華厳の滝などの撮影スポットもある。&#10;かなたに連れてきてもらったるしあ、ムーナが付近に住み着き、シオンとあくあの拠点も建てられた。
37,58,フレアの拠点、ノエルハウス,home,"不知火フレア,白銀ノエル",こちらもホロ村から少し離れた高台。絶景を眺められる2階建ての複雑な構造の家。&#10;一段下の崖にノエルが拠点を構えている。
28,58,ムキロゼのゴルフ場、ジンギスカンパニー,fort,"アキ・ローゼンタール,角巻わため",常闇トワと共にいた初期の拠点。ゴルフ場のような南国リゾートに立つアーチ状の岩の上。&#10;隣の岩に角巻わためが拠点を構えた。
29,60,事故物件,home,ロボ子さん,ロボ子さんの拠点、真っ赤に塗られた見るからにヤバイ家。&#10;ほぼ真上にわためが住んでいることを、ロボ子さんは知らない。
70,27,団長の別荘,home,白銀ノエル,レベリングのために建てた海辺の藁小屋、今後使われるのかは不明。
80,23,ミオハウス,home,大神ミオ,大神ミオの拠点。初心者らしく藁で建てた四角い豆腐ハウス。&#10;豆腐からの脱却を目標に活動中。
67,39,ムキロゼの神立地拠点,home,アキ・ローゼンタール,桜バイオームの海岸、青オベリスクが立つ寒冷地に隣接している。&#10;「サンキュー、ムーナ」と覚えると良いらしい。
59,41,さくら神社,home,さくらみこ,桜バイオームの中心、赤い鳥居が立つ水上の拠点。&#10;滞空しているワイバーンが目印。
69,43,トワ様の浮遊島,home,常闇トワ,桜バイオームの東に浮かぶ美しい浮遊島の拠点。ムキロゼ拠点やロボ子さん拠点と近い。
71,48,ロボ子さんの秘密基地,fort,浮遊島の地下にあるロックドレイクの巣に作られた新拠点。&#10;金属と水晶が豊富にあり、複数のアンキロサウルスとビーバーで工場が運営されている。
34,47,ちょこファクトリー,factory,癒月ちょこ,緑のオベリスクから東にある平野の河川敷。ここだけ時代が未来。&#10;初日から高度な科学文明を持ち込み、最強のスピノ軍団に守られている。
